Date : 2023-01-23 00:21:04
Directory : c:\Users\PHPDots\Desktop\emfi-nextjs
Total : 289 files,  48220 codes, 557 comments, 872 blanks, all 49649 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\gradientbg.svg                                                               | XML                |         14 |          0 |          1 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\linkedin-svgrepo-com.svg                                                     | XML                |         46 |          1 |          1 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\logo-google-playstore-svgrepo-com.svg                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\multiple group SVG - Copy (1).svg                                            | XML                |          1 |          0 |          1 |          2 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\multiple group SVG.svg                                                       | XML                |         65 |          0 |          1 |         66 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\pagination.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\search.svg                                                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\topArrow.svg                                                                 | XML                |          6 |          0 |          1 |          7 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\twitter-svgrepo-com.svg                                                      | XML                |         48 |          1 |          1 |         50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\up arrow.svg                                                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\waves2.svg                                                                   | XML                |         51 |          0 |          1 |         52 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianComponent.tsx                                | TypeScript React   |         51 |          0 |          4 |         55 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AccordianComponent\AccordianItemComponent.tsx\AccordianItemComponent.tsx | TypeScript React   |         25 |          0 |          4 |         29 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\AnimatedComponent.tsx                                  | TypeScript React   |         25 |         17 |          8 |         50 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\AnimatedContainer.tsx                                  | TypeScript React   |         23 |         18 |          8 |         49 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\Points.tsx                                             | TypeScript React   |         78 |          1 |         10 |         89 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\AnimatedComponent\TestDemo.jsx                                           | JavaScript React   |        130 |         26 |         18 |        174 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Badge\Badge.tsx                                                          | TypeScript React   |         14 |          0 |          4 |         18 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\CustomCard\CustomCard.tsx                                          | TypeScript React   |         16 |          0 |          5 |         21 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\CustomPriceCard\CustomPriceCard.tsx                                | TypeScript React   |         44 |          0 |          4 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\MarketMoverCard\MarketMoverCard.tsx                                | TypeScript React   |         80 |          2 |          3 |         85 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\PaperCard\PaperCard.tsx                                            | TypeScript React   |         22 |          0 |          3 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\ServiceCard\ServiceCard.tsx                                        | TypeScript React   |         24 |          0 |          4 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\TeamMemberCard\TeamMemberCard.tsx                                  | TypeScript React   |         40 |          0 |          3 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\ValuesCard\ValuesCard.tsx                                          | TypeScript React   |         12 |          0 |          4 |         16 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\LineChartComponent\DoubleLineChartComponent.tsx                   | TypeScript React   |        139 |          2 |          6 |        147 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\LineChartComponent\LineChartComponent.tsx                         | TypeScript React   |        134 |          1 |          5 |        140 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\WorldMapChart\WorldMapChart.tsx                                   | TypeScript React   |         28 |          0 |          2 |         30 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\WorldMapChart\features.json                                       | JSON               |     11,292 |          0 |          1 |     11,293 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\FloatModal\FloatModal.tsx                                                | TypeScript React   |         19 |          0 |          4 |         23 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Footer\Footer.tsx                                                        | TypeScript React   |        154 |          0 |          4 |        158 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeaderText\HeaderText.tsx                                                | TypeScript React   |         11 |          0 |          4 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSearch\HeroSearch.tsx                                                | TypeScript React   |         69 |          0 |          8 |         77 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\AboutHero.tsx                                                | TypeScript React   |         17 |          0 |          4 |         21 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\HeroSection.tsx                                              | TypeScript React   |        106 |         11 |          8 |        125 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\ProductHero.tsx                                              | TypeScript React   |        320 |          0 |          6 |        326 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\ProductIntroHero.tsx                                         | TypeScript React   |         95 |          0 |          6 |        101 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\ServiceHero.tsx                                              | TypeScript React   |         23 |          0 |          4 |         27 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroTextArea\HeroTextArea.tsx                                            | TypeScript React   |         47 |          0 |          4 |         51 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\AljazeeraIcon.tsx                                                  | TypeScript React   |         20 |          0 |          4 |         24 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\AppStoreIcon.tsx                                                   | TypeScript React   |         17 |          0 |          4 |         21 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\BloomBergBrandIcon.tsx                                             | TypeScript React   |         23 |          0 |          4 |         27 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\BloomBergIcon.tsx                                                  | TypeScript React   |         50 |          0 |          4 |         54 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\ChanthamIcon.tsx                                                   | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\DiractionArrow.tsx                                                 | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EBondIcon.tsx                                                      | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EFundIcon.tsx                                                      | TypeScript React   |         21 |          0 |          5 |         26 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EIntelIcon.tsx                                                     | TypeScript React   |         21 |          0 |          5 |         26 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EMFILogo.tsx                                                       | TypeScript React   |         53 |          0 |          4 |         57 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EMFILogoBlue.tsx                                                   | TypeScript React   |         22 |          2 |          6 |         30 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EWealthIcon.tsx                                                    | TypeScript React   |         21 |          0 |          5 |         26 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\FacebookIcon.tsx                                                   | TypeScript React   |         44 |          0 |          4 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\France24Icon.tsx                                                   | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\LinkedInIcon.tsx                                                   | TypeScript React   |         53 |          0 |          4 |         57 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\LinkedInIconWhite.tsx                                              | TypeScript React   |         30 |          0 |          4 |         34 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\LoginIcon.tsx                                                      | TypeScript React   |         26 |          1 |          3 |         30 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\MessageIconWhite.tsx                                               | TypeScript React   |         30 |          0 |          4 |         34 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\PlayStoreIcon.tsx                                                  | TypeScript React   |         19 |          0 |          4 |         23 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\ReutersIcon.tsx                                                    | TypeScript React   |         34 |          0 |          4 |         38 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\SearchIcon.tsx                                                     | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\TwitterIcon.tsx                                                    | TypeScript React   |         49 |          0 |          4 |         53 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\VOAIcon.tsx                                                        | TypeScript React   |         24 |          0 |          4 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\InputComponent\InputComponent.tsx                                        | TypeScript React   |         24 |          0 |          4 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\InputComponent\TextAreaComponent.tsx                                     | TypeScript React   |         34 |          0 |          4 |         38 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\InputComponent\TextInputComponent.tsx                                    | TypeScript React   |         27 |          0 |          4 |         31 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\LoginForm\LoginModal.tsx                                                 | TypeScript React   |        290 |          2 |         20 |        312 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Navbar\Navbar.tsx                                                        | TypeScript React   |         73 |          2 |          8 |         83 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\ParticalBg\ParticalBg.tsx                                                | TypeScript React   |        115 |          0 |          4 |        119 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\SelectComponent\SelectComponent.tsx                                      | TypeScript React   |         37 |          1 |          5 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\TableComponent\TableComponent.tsx                                        | TypeScript React   |         47 |          0 |          6 |         53 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\WavyText\WavyText.tsx                                                    | TypeScript React   |         62 |          0 |          7 |         69 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AboutEmfi\AboutEmfi.tsx                                                  | TypeScript React   |         59 |          0 |          4 |         63 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AboutValues\AboutValues.tsx                                              | TypeScript React   |         58 |          0 |          4 |         62 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AsSeenIn\AsSeenIn.tsx                                                    | TypeScript React   |         41 |          0 |          4 |         45 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\ChartContainer\ChartContainer.tsx                                        | TypeScript React   |         31 |          0 |          4 |         35 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\DefaultLayout\DefaultLayout.tsx                                          | TypeScript React   |         32 |          5 |          3 |         40 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\HistoryChartContainer\HistoryChartContainer.tsx                          | TypeScript React   |        154 |          0 |          6 |        160 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\MapContainer\MapContainer.tsx                                            | TypeScript React   |         34 |          5 |          4 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\MapContainer\MapWrapper.tsx                                              | TypeScript React   |         23 |          1 |          4 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\OurClients\OurClients.tsx                                                | TypeScript React   |         12 |          1 |          4 |         17 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\OurTeam\OurTeam.tsx                                                      | TypeScript React   |          6 |          0 |          4 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\OurValues\OurValues.tsx                                                  | TypeScript React   |          6 |          0 |          4 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\SwipeCarousel\SwipeCarousel.tsx                                          | TypeScript React   |        102 |          5 |          4 |        111 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Services\api.ts                                                                     | TypeScript         |         80 |          5 |          5 |         90 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Services\apiFunction.ts                                                             | TypeScript         |         50 |          0 |          4 |         54 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\WaveScript\index.js                                                                 | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\aboutContent.ts                                                           | TypeScript         |        460 |          1 |          7 |        468 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\globalContent.ts                                                          | TypeScript         |         86 |          0 |          2 |         88 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\policies.ts                                                               | TypeScript         |        422 |          0 |         83 |        505 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\productDetailsContent.ts                                                  | TypeScript         |        326 |          0 |          9 |        335 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\routes.ts                                                                 | TypeScript         |        222 |          5 |          6 |        233 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\serviceContent.ts                                                         | TypeScript         |        164 |          0 |          5 |        169 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\serviceDetailsContent.ts                                                  | TypeScript         |        332 |          0 |          8 |        340 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\slidesInformation.ts                                                      | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\hooks\useOnclickOutSide.tsx                                                         | TypeScript React   |         22 |          7 |          2 |         31 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\about.tsx                                                              | TypeScript React   |        146 |          0 |          6 |        152 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\contact.tsx                                                            | TypeScript React   |        196 |          3 |          9 |        208 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\cookiespolicy.tsx                                                      | TypeScript React   |         66 |          0 |          5 |         71 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\index.tsx                                                              | TypeScript React   |         55 |          0 |          6 |         61 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\[details]\[inteligencedetails]\index.tsx                  | TypeScript React   |        142 |          3 |          5 |        150 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\[details]\index.tsx                                       | TypeScript React   |         70 |          0 |          5 |         75 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\index.tsx                                                 | TypeScript React   |         90 |          8 |         12 |        110 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\policydocuments.tsx                                                    | TypeScript React   |         34 |          0 |          5 |         39 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\pricing.tsx                                                            | TypeScript React   |         63 |          0 |          4 |         67 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\privacypolicy\[privacypolicy]\index.tsx                                | TypeScript React   |         19 |         59 |          5 |         83 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\privacypolicy\index.tsx                                                | TypeScript React   |         34 |          0 |          5 |         39 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\scamalert.tsx                                                          | TypeScript React   |         94 |          0 |          5 |         99 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\index.tsx                                                     | TypeScript React   |        111 |          0 |          5 |        116 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourproducts\[products].tsx                                    | TypeScript React   |        120 |          2 |         11 |        133 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourproducts\index.tsx                                         | TypeScript React   |         11 |          0 |          4 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourservices\[services].tsx                                    | TypeScript React   |        119 |          2 |          5 |        126 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourservices\index.tsx                                         | TypeScript React   |         21 |          3 |          4 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\termsofuse.tsx                                                         | TypeScript React   |         34 |        214 |          3 |        251 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\_app.tsx                                                                      | TypeScript React   |         15 |          0 |          2 |         17 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\api\hello.ts                                                                  | TypeScript         |         10 |          1 |          3 |         14 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\index.tsx                                                                     | TypeScript React   |         20 |          3 |          5 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\AboutEmfi.module.scss                                                        | SCSS               |         84 |          3 |          1 |         88 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\AboutHero.module.scss                                                        | SCSS               |          9 |          0 |          1 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Badge.module.scss                                                            | SCSS               |         33 |          0 |          2 |         35 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\ChartContainer.module.scss                                                   | SCSS               |         84 |          0 |          1 |         85 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\CustomCard.module.scss                                                       | SCSS               |         28 |         16 |          4 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Details.module.scss                                                          | SCSS               |        250 |          4 |          1 |        255 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\FloatModal.module.scss                                                       | SCSS               |          4 |          0 |          1 |          5 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Footer.module.scss                                                           | SCSS               |        128 |          2 |          1 |        131 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeaderText.module.scss                                                       | SCSS               |         24 |          0 |          3 |         27 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeroSearch.module.scss                                                       | SCSS               |         35 |          0 |          1 |         36 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeroSection.module.scss                                                      | SCSS               |         28 |          0 |          1 |         29 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeroTextArea.module.scss                                                     | SCSS               |         92 |          0 |          1 |         93 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Home.module.scss                                                             | SCSS               |          2 |          0 |          1 |          3 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\InputComponent.module.scss                                                   | SCSS               |         65 |          1 |          1 |         67 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\LoginForm.module.scss                                                        | SCSS               |        101 |          0 |          3 |        104 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\MarketMoverCard.module.scss                                                  | SCSS               |         22 |          0 |          1 |         23 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Navbar.module.scss                                                           | SCSS               |         66 |          0 |          3 |         69 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\PriceCard.module.scss                                                        | SCSS               |         65 |          0 |          1 |         66 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Pricing.module.scss                                                          | SCSS               |         35 |          0 |          2 |         37 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\ProductHero.module.scss                                                      | SCSS               |        210 |          3 |         11 |        224 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\ServiceCard.module.scss                                                      | SCSS               |         27 |          0 |          1 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Services.module.scss                                                         | SCSS               |         93 |          6 |          1 |        100 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\TableComponent.module.scss                                                   | SCSS               |         52 |          0 |          1 |         53 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\TextAreaComponent.module.scss                                                | SCSS               |         42 |          0 |          2 |         44 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\TextInputComponent.module.scss                                               | SCSS               |         40 |          1 |          2 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\globals.scss                                                                 | SCSS               |      2,154 |         76 |         41 |      2,271 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\inteligenceCountry.module.scss                                               | SCSS               |        253 |          4 |          2 |        259 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\variable.scss                                                                | SCSS               |         23 |          0 |          4 |         27 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\types\types.ts                                                                      | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\utils\TableColumns.ts                                                               | TypeScript         |        116 |          0 |          2 |        118 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\utils\particleConfig.ts                                                             | TypeScript         |        553 |          0 |          2 |        555 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\taskdef-dev.json                                                                        | JSON               |         40 |          0 |          0 |         40 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\tsconfig.json                                                                           | JSON with Comments |         26 |          0 |          1 |         27 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\type.d.ts                                                                               | TypeScript         |         76 |          0 |          6 |         82 |
| Total                                                                                                                        |                    |     48,220 |        557 |        872 |     49,649 |
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
