Date : 2023-01-17 12:02:47
Directory : c:\Users\PHPDots\Desktop\emfi-nextjs
Total : 251 files,  46881 codes, 208 comments, 687 blanks, all 47776 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\MarketMoverCard\MarketMoverCard.tsx                                | TypeScript React   |         80 |          2 |          3 |         85 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\PaperCard\PaperCard.tsx                                            | TypeScript React   |         22 |          0 |          3 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\ServiceCard\ServiceCard.tsx                                        | TypeScript React   |         20 |          0 |          4 |         24 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\TeamMemberCard\TeamMemberCard.tsx                                  | TypeScript React   |         40 |          0 |          3 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Cards\ValuesCard\ValuesCard.tsx                                          | TypeScript React   |         12 |          0 |          4 |         16 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\LineChartComponent\LineChartComponent.tsx                         | TypeScript React   |         98 |          1 |          7 |        106 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\WorldMapChart\WorldMapChart.tsx                                   | TypeScript React   |         28 |          0 |          2 |         30 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Charts\WorldMapChart\features.json                                       | JSON               |     11,292 |          0 |          1 |     11,293 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\FloatModal\FloatModal.tsx                                                | TypeScript React   |         19 |          0 |          4 |         23 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Footer\Footer.tsx                                                        | TypeScript React   |        108 |          0 |          3 |        111 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeaderText\HeaderText.tsx                                                | TypeScript React   |         11 |          0 |          4 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSearch\HeroSearch.tsx                                                | TypeScript React   |         71 |          0 |          8 |         79 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\AboutHero.tsx                                                | TypeScript React   |         17 |          0 |          4 |         21 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\HeroSection.tsx                                              | TypeScript React   |         77 |          0 |          4 |         81 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\ProductHero.tsx                                              | TypeScript React   |        320 |          0 |          6 |        326 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\ProductIntroHero.tsx                                         | TypeScript React   |         95 |          0 |          6 |        101 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroSection\ServiceHero.tsx                                              | TypeScript React   |         23 |          0 |          4 |         27 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\HeroTextArea\HeroTextArea.tsx                                            | TypeScript React   |         34 |          0 |          4 |         38 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\AljazeeraIcon.tsx                                                  | TypeScript React   |         20 |          0 |          4 |         24 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\AppStoreIcon.tsx                                                   | TypeScript React   |         17 |          0 |          4 |         21 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\BloomBergBrandIcon.tsx                                             | TypeScript React   |         23 |          0 |          4 |         27 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\BloomBergIcon.tsx                                                  | TypeScript React   |         50 |          0 |          4 |         54 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\ChanthamIcon.tsx                                                   | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\DiractionArrow.tsx                                                 | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EBondIcon.tsx                                                      | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EFundIcon.tsx                                                      | TypeScript React   |         21 |          0 |          5 |         26 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EIntelIcon.tsx                                                     | TypeScript React   |         21 |          0 |          5 |         26 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EMFILogo.tsx                                                       | TypeScript React   |         53 |          0 |          4 |         57 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EMFILogoBlue.tsx                                                   | TypeScript React   |         22 |          2 |          6 |         30 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\EWealthIcon.tsx                                                    | TypeScript React   |         21 |          0 |          5 |         26 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\FacebookIcon.tsx                                                   | TypeScript React   |         44 |          0 |          4 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\France24Icon.tsx                                                   | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\LinkedInIcon.tsx                                                   | TypeScript React   |         53 |          0 |          4 |         57 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\LinkedInIconWhite.tsx                                              | TypeScript React   |         30 |          0 |          4 |         34 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\LoginIcon.tsx                                                      | TypeScript React   |         26 |          1 |          3 |         30 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\MessageIconWhite.tsx                                               | TypeScript React   |         30 |          0 |          4 |         34 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\PlayStoreIcon.tsx                                                  | TypeScript React   |         19 |          0 |          4 |         23 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\ReutersIcon.tsx                                                    | TypeScript React   |         34 |          0 |          4 |         38 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\SearchIcon.tsx                                                     | TypeScript React   |         21 |          0 |          4 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\TwitterIcon.tsx                                                    | TypeScript React   |         49 |          0 |          4 |         53 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Icons\VOAIcon.tsx                                                        | TypeScript React   |         24 |          0 |          4 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\InputComponent\InputComponent.tsx                                        | TypeScript React   |         24 |          0 |          4 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\InputComponent\TextAreaComponent.tsx                                     | TypeScript React   |         34 |          0 |          4 |         38 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\InputComponent\TextInputComponent.tsx                                    | TypeScript React   |         27 |          0 |          4 |         31 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\LoginForm\LoginModal.tsx                                                 | TypeScript React   |         80 |          1 |          8 |         89 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\Navbar\Navbar.tsx                                                        | TypeScript React   |         62 |          1 |          5 |         68 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\ParticalBg\ParticalBg.tsx                                                | TypeScript React   |        115 |          0 |          4 |        119 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\SelectComponent\SelectComponent.tsx                                      | TypeScript React   |         37 |          1 |          5 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\TableComponent\TableComponent.tsx                                        | TypeScript React   |         47 |          0 |          6 |         53 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Components\WavyText\WavyText.tsx                                                    | TypeScript React   |         62 |          0 |          7 |         69 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AboutEmfi\AboutEmfi.tsx                                                  | TypeScript React   |         60 |          0 |          4 |         64 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AboutValues\AboutValues.tsx                                              | TypeScript React   |         35 |          0 |          3 |         38 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\AsSeenIn\AsSeenIn.tsx                                                    | TypeScript React   |          6 |          0 |          4 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\ChartContainer\ChartContainer.tsx                                        | TypeScript React   |         31 |          0 |          4 |         35 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\DefaultLayout\DefaultLayout.tsx                                          | TypeScript React   |         17 |          0 |          3 |         20 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\HistoryChartContainer\HistoryChartContainer.tsx                          | TypeScript React   |        154 |          0 |          6 |        160 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\MapContainer\MapContainer.tsx                                            | TypeScript React   |         29 |          3 |          4 |         36 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\OurClients\OurClients.tsx                                                | TypeScript React   |         12 |          1 |          4 |         17 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\OurTeam\OurTeam.tsx                                                      | TypeScript React   |          6 |          0 |          4 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\OurValues\OurValues.tsx                                                  | TypeScript React   |          6 |          0 |          4 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Containers\SwipeCarousel\SwipeCarousel.tsx                                          | TypeScript React   |         95 |          2 |          5 |        102 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Services\api.ts                                                                     | TypeScript         |         30 |          1 |          5 |         36 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\Services\apiFunction.ts                                                             | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\aboutContent.tsx                                                          | TypeScript React   |        325 |          0 |         11 |        336 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\information.ts                                                            | TypeScript         |        400 |          0 |         20 |        420 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\intelligenceInfo.tsx                                                      | TypeScript React   |      2,126 |          0 |          1 |      2,127 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\routes.ts                                                                 | TypeScript         |        190 |          0 |          4 |        194 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\constants\serviceContent.tsx                                                        | TypeScript React   |        134 |          0 |          8 |        142 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\hooks\useOnclickOutSide.tsx                                                         | TypeScript React   |         22 |          7 |          2 |         31 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\about.tsx                                                              | TypeScript React   |        139 |          0 |          7 |        146 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\contact.tsx                                                            | TypeScript React   |        189 |          0 |          9 |        198 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\cookiespolicy.tsx                                                      | TypeScript React   |         60 |          0 |          3 |         63 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\index.tsx                                                              | TypeScript React   |         54 |          0 |          6 |         60 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\details\[inteligencedetails]\index.tsx                    | TypeScript React   |        142 |          3 |          5 |        150 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\details\index.tsx                                         | TypeScript React   |         42 |          0 |          4 |         46 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\intelligence\index.tsx                                                 | TypeScript React   |         55 |          0 |          8 |         63 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\pricing.tsx                                                            | TypeScript React   |         63 |          0 |          4 |         67 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\privacypolicy.tsx                                                      | TypeScript React   |        229 |          0 |          4 |        233 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\scamalert.tsx                                                          | TypeScript React   |        104 |          0 |          4 |        108 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\index.tsx                                                     | TypeScript React   |         77 |          1 |          5 |         83 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourproducts\[products].tsx                                    | TypeScript React   |        108 |          2 |         10 |        120 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourproducts\index.tsx                                         | TypeScript React   |         11 |          0 |          4 |         15 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourservices\[services].tsx                                    | TypeScript React   |         32 |          0 |          3 |         35 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\services\ourservices\index.tsx                                         | TypeScript React   |         21 |          3 |          4 |         28 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\[lang]\termsofuse.tsx                                                         | TypeScript React   |        231 |          0 |          4 |        235 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\_app.tsx                                                                      | TypeScript React   |         15 |          0 |          2 |         17 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\api\hello.ts                                                                  | TypeScript         |         10 |          1 |          3 |         14 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\pages\index.tsx                                                                     | TypeScript React   |         18 |          0 |          4 |         22 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\AboutEmfi.module.scss                                                        | SCSS               |         84 |          3 |          1 |         88 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\AboutHero.module.scss                                                        | SCSS               |          9 |          0 |          1 |         10 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Badge.module.scss                                                            | SCSS               |         33 |          0 |          2 |         35 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\ChartContainer.module.scss                                                   | SCSS               |         84 |          0 |          1 |         85 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\CustomCard.module.scss                                                       | SCSS               |         28 |         16 |          4 |         48 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Details.module.scss                                                          | SCSS               |        173 |          0 |          1 |        174 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\FloatModal.module.scss                                                       | SCSS               |          4 |          0 |          1 |          5 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Footer.module.scss                                                           | SCSS               |        134 |          0 |          1 |        135 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeaderText.module.scss                                                       | SCSS               |         24 |          0 |          3 |         27 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeroSearch.module.scss                                                       | SCSS               |         35 |          0 |          1 |         36 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeroSection.module.scss                                                      | SCSS               |         26 |          0 |          1 |         27 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\HeroTextArea.module.scss                                                     | SCSS               |         92 |          0 |          1 |         93 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Home.module.scss                                                             | SCSS               |          2 |          0 |          1 |          3 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\InputComponent.module.scss                                                   | SCSS               |         62 |          1 |          1 |         64 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\LoginForm.module.scss                                                        | SCSS               |         82 |          0 |          3 |         85 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\MarketMoverCard.module.scss                                                  | SCSS               |         22 |          0 |          1 |         23 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Navbar.module.scss                                                           | SCSS               |         66 |          0 |          3 |         69 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\PriceCard.module.scss                                                        | SCSS               |         65 |          0 |          1 |         66 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Pricing.module.scss                                                          | SCSS               |         35 |          0 |          2 |         37 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\ProductHero.module.scss                                                      | SCSS               |        210 |          3 |         11 |        224 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\ServiceCard.module.scss                                                      | SCSS               |         33 |          0 |          1 |         34 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\Services.module.scss                                                         | SCSS               |         74 |          5 |          1 |         80 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\TableComponent.module.scss                                                   | SCSS               |         52 |          0 |          1 |         53 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\TextAreaComponent.module.scss                                                | SCSS               |         42 |          0 |          2 |         44 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\TextInputComponent.module.scss                                               | SCSS               |         40 |          1 |          2 |         43 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\globals.scss                                                                 | SCSS               |      1,533 |         72 |         35 |      1,640 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\styles\variable.scss                                                                | SCSS               |         23 |          0 |          2 |         25 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\types\types.ts                                                                      | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\utils\TableColumns.ts                                                               | TypeScript         |        116 |          0 |          2 |        118 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\src\utils\particleConfig.ts                                                             | TypeScript         |        553 |          0 |          2 |        555 |
| c:\Users\PHPDots\Desktop\emfi-nextjs\tsconfig.json                                                                           | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                                                        |                    |     46,881 |        208 |        687 |     47,776 |
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
